Date,Population
2052-05-01,10942099.0
2052-06-01,10947598.25
2052-07-01,10953097.5
2052-08-01,10958596.75
2052-09-01,10964096.0
2052-10-01,10969595.25
2052-11-01,10975094.5
2052-12-01,10980593.75
2053-01-01,10986093.0
2053-02-01,10991505.083333334
2053-03-01,10996917.166666666
2053-04-01,11002329.25
2053-05-01,11007741.333333334
2053-06-01,11013153.416666666
2053-07-01,11018565.5
2053-08-01,11023977.583333334
2053-09-01,11029389.666666666
2053-10-01,11034801.75
2053-11-01,11040213.833333334
2053-12-01,11045625.916666666
2054-01-01,11051038.0
2054-02-01,11056372.166666666
2054-03-01,11061706.333333334
2054-04-01,11067040.5
2054-05-01,11072374.666666666
2054-06-01,11077708.833333334
2054-07-01,11083043.0
2054-08-01,11088377.166666666
2054-09-01,11093711.333333334
2054-10-01,11099045.5
2054-11-01,11104379.666666666
2054-12-01,11109713.833333334
2055-01-01,11115048.0
2055-02-01,11120309.666666666
2055-03-01,11125571.333333334
2055-04-01,11130833.0
2055-05-01,11136094.666666666
2055-06-01,11141356.333333334
2055-07-01,11146618.0
2055-08-01,11151879.666666666
2055-09-01,11157141.333333334
2055-10-01,11162403.0
2055-11-01,11167664.666666666
2055-12-01,11172926.333333334
2056-01-01,11178188.0
2056-02-01,11183383.5
2056-03-01,11188579.0
2056-04-01,11193774.5
2056-05-01,11198970.0
2056-06-01,11204165.5
2056-07-01,11209361.0
2056-08-01,11214556.5
2056-09-01,11219752.0
2056-10-01,11224947.5
2056-11-01,11230143.0
2056-12-01,11235338.5
2057-01-01,11240534.0
2057-02-01,11245668.583333334
2057-03-01,11250803.166666666
2057-04-01,11255937.75
2057-05-01,11261072.333333334
2057-06-01,11266206.916666666
2057-07-01,11271341.5
2057-08-01,11276476.083333334
2057-09-01,11281610.666666666
2057-10-01,11286745.25
2057-11-01,11291879.833333334
2057-12-01,11297014.416666666
2058-01-01,11302149.0
2058-02-01,11307225.0
2058-03-01,11312301.0
2058-04-01,11317377.0
2058-05-01,11322453.0
2058-06-01,11327529.0
2058-07-01,11332605.0
2058-08-01,11337681.0
2058-09-01,11342757.0
2058-10-01,11347833.0
2058-11-01,11352909.0
2058-12-01,11357985.0
2059-01-01,11363061.0
2059-02-01,11368081.333333334
2059-03-01,11373101.666666666
2059-04-01,11378122.0
2059-05-01,11383142.333333334
2059-06-01,11388162.666666666
2059-07-01,11393183.0
2059-08-01,11398203.333333334
2059-09-01,11403223.666666666
2059-10-01,11408244.0
2059-11-01,11413264.333333334
2059-12-01,11418284.666666666
2060-01-01,11423305.0
2060-02-01,11428271.0
2060-03-01,11433237.0
2060-04-01,11438203.0
2060-05-01,11443169.0
2060-06-01,11448135.0
2060-07-01,11453101.0
2060-08-01,11458067.0
2060-09-01,11463033.0
2060-10-01,11467999.0
2060-11-01,11472965.0
2060-12-01,11477931.0
2061-01-01,11482897.0
2061-02-01,11487810.333333334
2061-03-01,11492723.666666666
2061-04-01,11497637.0
2061-05-01,11502550.333333334
2061-06-01,11507463.666666666
2061-07-01,11512377.0
2061-08-01,11517290.333333334
2061-09-01,11522203.666666666
2061-10-01,11527117.0
2061-11-01,11532030.333333334
2061-12-01,11536943.666666666
2062-01-01,11541857.0
2062-02-01,11546719.666666666
2062-03-01,11551582.333333334
2062-04-01,11556445.0
2062-05-01,11561307.666666666
2062-06-01,11566170.333333334
2062-07-01,11571033.0
2062-08-01,11575895.666666666
2062-09-01,11580758.333333334
