20160620,20160626,-0.48
20160627,20160703,-0.47
20160704,20160710,-0.54
20160711,20160717,-0.48
20160718,20160724,-0.43
20160725,20160731,-0.48
20160801,20160807,-0.46
20160808,20160814,-0.64
20160815,20160821,-0.57
20160822,20160828,-0.62
20160829,20160904,-0.51
20160905,20160911,-0.54
20160912,20160918,-0.72
20160919,20160925,-0.55
20160926,20161002,-0.67
20161003,20161009,-0.85
20161010,20161016,-0.69
20161017,20161023,-0.71
20161024,20161030,-0.73
20161031,20161106,-0.81
20161107,20161113,-0.69
20161114,20161120,-0.49
20161121,20161127,-0.50
20161128,20161204,-0.48
20161205,20161211,-0.38
20161212,20161218,-0.41
20161219,20161225,-0.40
20161226,20170101,-0.34
20170102,20170108,-0.51
20170109,20170115,-0.39
20170116,20170122,-0.19
20170123,20170129,-0.26
20170130,20170205,-0.40
20170206,20170212,-0.23
20170213,20170219,0.13
20170220,20170226,0.14
20170227,20170305,0.09
20170306,20170312,-0.01
20170313,20170319,0.01
20170320,20170326,0.03
20170327,20170402,0.03
20170403,20170409,0.03
20170410,20170416,0.08
20170417,20170423,0.34
20170424,20170430,0.34
20170501,20170507,0.38
20170508,20170514,0.46
20170515,20170521,0.34
20170522,20170528,0.38
20170529,20170604,0.37
20170605,20170611,0.35
20170612,20170618,0.40
20170619,20170625,0.44
20170626,20170702,0.43
20170703,20170709,0.48
20170710,20170716,0.44
20170717,20170723,0.32
20170724,20170730,0.21
20170731,20170806,0.14
20170821,20170827,-0.09
20170828,20170903,-0.21
20170904,20170910,-0.38
20170911,20170917,-0.45
20170918,20170924,-0.47
20170925,20171001,-0.21
20171002,20171008,-0.17
20171009,20171015,-0.55
20171016,20171022,-0.79
20171023,20171029,-0.65
20171030,20171105,-0.64
20171106,20171112,-0.89
20171113,20171119,-0.83
20171120,20171126,-0.98
20171127,20171203,-1.14
20171204,20171210,-1.05
20171211,20171217,-1.01
20171218,20171224,-0.91
20171225,20171231,-0.82
20180101,20180107,-0.97
20180108,20180114,-0.84
20180115,20180121,-0.72
20180122,20180128,-0.67
20180129,20180204,-0.74
20180205,20180211,-0.67
20180212,20180218,-0.78
20180219,20180225,-0.76
20180226,20180304,-0.75
20180305,20180311,-0.82
20180312,20180318,-0.83
20180319,20180325,-1.01
20180326,20180401,-0.81
20180402,20180408,-0.65
20180409,20180415,-0.58
20180416,20180422,-0.66
20180423,20180429,-0.56
20180430,20180506,-0.44
