Date,Population,enso,mean_humidity,mean_solar_radiation,mean_temp,mean_wind_direction,mean_windspeed,rainfall,Year,Week,Predicted_Demand
2053-07-20,11012603.98780488,0.0,70.05069444444445,125.83541666666667,12.292261904761906,207.06944444444449,2.035714285714286,0.0,2053,29,8187.443504999981
2053-07-27,11013804.108013935,0.0,79.25138888888888,104.73333333333332,12.913095238095238,197.31736111111115,1.7583333333333335,1.0,2053,30,8102.663424583329
2053-08-03,11015004.228222996,0.0,83.29444444444444,132.13958333333332,11.842261904761903,194.6423611111111,1.2232142857142858,0.0,2053,31,7868.741857916642
2053-08-10,11016204.348432057,1.0,88.15902777777778,77.85208333333334,12.839285714285715,159.96875,1.1363095238095238,0.0,2053,32,8081.782295416685
2053-08-17,11017404.468641115,1.0,95.48402777777778,38.38333333333333,14.216071428571428,199.14097222222225,0.5454365079365079,0.0,2053,33,7886.491967083311
2053-08-24,11018604.588850174,0.0,82.31805555555555,123.60208333333334,15.725595238095238,230.7072222222222,0.9766269841269842,1.0,2053,34,7754.2949408333425
2053-08-31,11019804.709059233,0.0,74.52083333333333,130.65625,14.922619047619046,206.97847222222225,1.5476190476190477,0.0,2053,35,7688.073395833314
2053-09-07,11021004.829268292,1.0,82.36944444444445,50.05833333333334,12.580357142857144,215.70444444444445,3.338392857142857,11.2,2053,36,8505.419725833317
2053-09-14,11022204.949477352,1.0,72.03611111111111,138.35208333333333,11.99702380952381,208.17222222222225,2.2255952380952384,23.5,2053,37,8118.444426666622
2053-09-21,11023405.069686413,0.0,78.60694444444444,140.34791666666666,9.767261904761904,215.7541666666667,1.2351190476190477,0.05,2053,38,8490.535058750005
2053-09-28,11024605.18989547,0.0,82.36458333333333,100.37708333333336,9.74047619047619,215.19027777777777,1.093452380952381,0.0,2053,39,8745.501584166652
2053-10-05,11025805.31010453,0.0,78.30624999999999,105.45625,9.861904761904762,227.645,1.3143849206349203,0.0,2053,40,8688.580652083345
2053-10-12,11027005.430313587,0.0,78.05694444444445,117.48333333333332,11.702380952380954,237.00694444444443,1.0922619047619049,0.0,2053,41,8271.71949666664
2053-10-19,11028205.550522648,0.0,80.79722222222223,113.00208333333336,12.629761904761905,238.67013888888889,0.9208333333333334,0.0,2053,42,8220.341471249987
2053-10-26,11029405.670731708,0.0,81.67708333333333,40.05833333333333,14.066666666666668,234.9598611111111,1.0482142857142858,0.0,2053,43,7846.362202916653
2053-11-02,11030605.790940767,0.0,81.96597222222222,47.54791666666667,10.64404761904762,229.25625,1.0660714285714286,0.0,2053,44,8353.663001666675
2053-11-09,11031805.911149826,0.0,70.66250000000001,27.58125,10.741666666666667,248.8270833333333,1.8791666666666669,0.0,2053,45,8324.170872916624
2053-11-16,11033006.031358885,0.0,55.64305555555556,129.00625,9.70892857142857,234.36180555555555,3.298809523809524,0.0,2053,46,8835.809770416656
2053-11-23,11034206.151567943,0.0,63.50069444444444,135.08125,7.267857142857142,218.82638888888889,2.0994047619047618,0.0,2053,47,9155.081487499996
2053-11-30,11035406.271777004,0.0,75.60138888888888,118.50208333333336,8.012500000000001,223.8784722222222,1.4244047619047615,0.0,2053,48,8978.855985833325
2053-12-07,11036606.391986065,0.0,78.12291666666667,133.98749999999998,7.7839285714285715,200.5833333333333,1.3714285714285717,0.0,2053,49,9040.947097499979
2053-12-14,11037806.51219512,0.0,79.36180555555556,100.62708333333332,9.017857142857142,235.8736111111111,1.8470238095238096,0.0,2053,50,8982.967390416668
2053-12-21,11039006.632404182,0.0,73.95833333333333,127.6125,11.680357142857142,224.3308333333333,1.3263888888888888,0.0,2053,51,8245.310332083325
2053-12-28,11040206.75261324,0.0,84.37847222222221,131.05,10.272619047619049,195.70069444444445,1.069047619047619,0.0,2053,52,8549.750224583335
2054-01-04,11041406.87,0.0,70.27638888888889,128.625,12.73392857142857,259.2215277777778,1.8047619047619048,0.0,2054,1,7822.433600833288
2054-01-11,11042606.993031358,0.0,59.72569444444445,101.50416666666666,13.87797619047619,232.01388888888889,1.6886904761904764,0.0,2054,2,7934.884950416684
2054-01-18,11043807.11324042,0.0,75.08680555555556,40.395833333333336,10.936805555555557,207.93541666666667,1.700892857142857,1.8,2054,3,8840.10124666664
2054-01-25,11045007.233449478,0.0,72.47777777777777,79.05,12.758928571428571,194.18125,1.1101190476190477,2.0,2054,4,8071.6706312500055
2054-02-01,11046207.353658536,0.0,80.78291666666667,57.70625,12.4094246031746,215.85625,0.9011904761904762,0.0,2054,5,8481.076766250024
